<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.07	111.768	111.855	111.478	111.547	52759	0	4
2019.03.08	111.581	111.647	110.767	111.152	65445	0	5
2019.03.11	111.145	111.304	110.874	111.210	51632	0	4
2019.03.12	111.210	111.463	111.105	111.338	56760	0	7
2019.03.13	111.340	111.461	111.002	111.271	56993	0	5
2019.03.14	111.272	111.829	111.141	111.649	65172	0	4
2019.03.15	111.648	111.897	111.380	111.450	52625	0	5
2019.03.18	111.471	111.626	111.292	111.435	45455	0	4
2019.03.19	111.435	111.471	111.154	111.394	49284	0	3
2019.03.20	111.394	111.691	110.531	110.626	67255	0	4
2019.03.21	110.624	110.955	110.294	110.844	62338	0	3
2019.03.22	110.844	110.894	109.737	109.928	81806	0	1
2019.03.25	110.000	110.237	109.704	109.973	79670	0	4
2019.03.26	109.972	110.686	109.951	110.611	72313	0	4
2019.03.27	110.611	110.711	110.231	110.448	89987	0	6
2019.03.28	110.447	110.828	110.015	110.628	84360	0	6
2019.03.29	110.628	110.945	110.529	110.810	71101	0	3
2019.04.01	110.994	111.440	110.804	111.336	62714	0	3
2019.04.02	111.352	111.451	111.244	111.305	51998	0	7
2019.04.03	111.310	111.574	111.204	111.476	50657	0	6
2019.04.04	111.487	111.669	111.331	111.654	47097	0	5
2019.04.05	111.653	111.819	111.545	111.700	52328	0	6
2019.04.08	111.627	111.748	111.278	111.456	42091	0	5
2019.04.09	111.492	111.575	110.975	111.124	46159	0	4
2019.04.10	111.140	111.276	110.839	110.996	44980	0	3
2019.04.11	111.008	111.693	110.890	111.639	51427	0	6
2019.04.12	111.638	112.088	111.582	112.003	49623	0	6
2019.04.15	111.961	112.091	111.882	112.024	35460	0	4
2019.04.16	112.028	112.040	111.842	111.997	46272	0	4
2019.04.17	112.014	112.161	111.917	112.050	46439	0	4
2019.04.18	112.067	112.067	111.760	111.971	51489	0	4
2019.04.19	111.962	112.002	111.891	111.905	59285	0	3
2019.04.22	111.905	111.986	111.841	111.925	27542	0	3
2019.04.23	111.932	112.030	111.648	111.852	40773	0	4
2019.04.24	111.858	112.396	111.677	112.177	47599	0	3
2019.04.25	112.189	112.235	111.364	111.614	53556	0	8
2019.04.26	111.609	112.028	111.424	111.558	55286	0	3
2019.04.29	111.525	111.894	111.525	111.635	29152	0	3
2019.04.30	111.634	111.686	111.231	111.419	49356	0	3
2019.05.01	111.428	111.608	111.046	111.371	38999	0	4
2019.05.02	111.378	111.661	111.345	111.502	50134	0	3
2019.05.03	111.500	111.691	111.065	111.091	50219	0	4
2019.05.06	110.621	110.955	110.278	110.761	60105	0	5
2019.05.07	110.858	110.858	110.165	110.234	67106	0	5
2019.05.08	110.240	110.290	109.900	110.085	74011	0	5
2019.05.09	110.094	110.129	109.467	109.770	75597	0	5
2019.05.10	109.757	110.045	109.472	109.963	91968	0	4
2019.05.13	109.755	109.831	109.016	109.292	78316	0	3
2019.05.14	109.299	109.768	109.140	109.598	57887	0	4
2019.05.15	109.596	109.699	109.150	109.586	66017	0	4
2019.05.16	109.580	109.963	109.331	109.834	57204	0	3
2019.05.17	109.841	110.190	109.489	110.039	80581	0	5
2019.05.20	110.101	110.315	109.804	110.053	63419	0	5
2019.05.21	110.056	110.668	110.013	110.484	58803	0	4
2019.05.22	110.480	110.622	110.237	110.340	50544	0	4
2019.05.23	110.351	110.360	109.453	109.593	77872	0	4
2019.05.24	109.594	109.741	109.269	109.286	58553	0	4
2019.05.27	109.319	109.581	109.275	109.512	41304	0	2
2019.05.28	109.485	109.625	109.206	109.362	65777	0	3
2019.05.29	109.364	109.695	109.145	109.582	75428	0	5
2019.05.30	109.584	109.922	109.468	109.611	64140	0	4
2019.05.31	109.613	109.622	108.274	108.276	95115	0	5
2019.06.03	108.270	108.442	107.879	108.057	80351	0	8
2019.06.04	108.050	108.355	107.841	108.135	74836	0	5
2019.06.05	108.144	108.481	107.811	108.447	77862	0	3
2019.06.06	108.449	108.559	108.020	108.395	69708	0	4
2019.06.07	108.384	108.613	107.876	108.192	73280	0	5
2019.06.10	108.468	108.711	108.308	108.433	55214	0	4
2019.06.11	108.432	108.797	108.345	108.509	58138	0	3
2019.06.12	108.517	108.563	108.212	108.494	67553	0	3
2019.06.13	108.501	108.533	108.160	108.385	59721	0	3
2019.06.14	108.376	108.583	108.155	108.539	60682	0	3
2019.06.17	108.490	108.719	108.469	108.540	46591	0	3
2019.06.18	108.537	108.673	108.055	108.445	76383	0	3
2019.06.19	108.445	108.613	107.896	108.100	70591	0	3
2019.06.20	108.100	108.138	107.208	107.291	97337	0	4
2019.06.21	107.285	107.731	107.044	107.326	81912	0	3
2019.06.24	107.302	107.533	107.244	107.294	58184	0	3
2019.06.25	107.290	107.405	106.774	107.177	85546	0	4
2019.06.26	107.177	107.846	107.097	107.786	62958	0	3
2019.06.27	107.780	108.157	107.644	107.793	60932	0	5
2019.06.28	107.784	107.928	107.558	107.917	60405	0	4
2019.07.01	107.914	108.529	107.914	108.438	66502	0	3
2019.07.02	108.433	108.471	107.763	107.881	53401	0	4
2019.07.03	107.884	107.910	107.529	107.810	53372	0	6
2019.07.04	107.811	107.839	107.703	107.812	27145	0	4
2019.07.05	107.809	108.634	107.765	108.457	52973	0	5
2019.07.08	108.425	108.802	108.276	108.717	15457	0	3
2019.07.09	108.716	108.962	108.676	108.851	31392	0	3
2019.07.10	108.849	108.989	108.346	108.461	44509	0	3
2019.07.11	108.455	108.529	107.857	108.488	44857	0	3
2019.07.12	108.487	108.607	107.800	107.888	47838	0	3
2019.07.15	107.846	108.107	107.796	107.906	37574	0	3
2019.07.16	107.906	108.375	107.819	108.238	44688	0	3
2019.07.17	108.238	108.325	107.934	107.941	36671	0	3
2019.07.18	107.939	108.015	107.209	107.287	50746	0	3
2019.07.19	107.287	107.977	107.215	107.694	51376	0	3
2019.07.22	107.766	108.068	107.698	107.862	41319	0	3
2019.07.23	107.862	108.286	107.824	108.217	38423	0	3
2019.07.24	108.212	108.273	107.935	108.177	41645	0	3
2019.07.25	108.177	108.754	108.037	108.627	47539	0	3
2019.07.26	108.628	108.827	108.560	108.654	37387	0	3
2019.07.29	108.619	108.899	108.418	108.775	27848	0	3
2019.07.30	108.777	108.946	108.451	108.598	44620	0	3
2019.07.31	108.606	108.999	108.489	108.750	60530	0	3
